@9GAG Hannah Montana
@9GAG Posted... https://twitter.com/9GAG/status/1035168009176997889 …
@9GAG Posted... https://twitter.com/9GAG/status/1035135562582319109 …
@9GAG Ed sheeran 🤷‍♀️
@9GAG shawn mendes
@9GAG “I could never win an Oscar cause I don't know how to act” - Definitely lil Wayne
@9GAG Adele
@9GAG Sia
@9GAG Rihanna 😀
@9GAG @_patr1ciooo
@9GAG @DhinchakPooja 🤣🤣😁Just kidding😆
@9GAG Ipče
@9GAG Jašar Ahmedovski
@9GAG Akon
@9GAG Maher zain
@9GAG Mitar Mirić
@9GAG True af!!!
@9GAG Can I name an actor who can't act? #CourteneyCox
@9GAG Jared leto
@9GAG Eminem
@9GAG some kpop idols!!!!!
@9GAG Troye sivan
@9GAG Jennifer Lopez
@9GAG Maui from Moana movie..
@9GAG Ed Sheeran
@9GAG BSB 😂
@9GAG  pic.twitter.com/hIGaQ2MG89
@9GAG Himesh Reshamiya
